ATL,Hartsfield-Jackson Atlanta International Airport
LAX,Los Angeles International Airport
ORD,Chicago O'Hare International Airport
DFW,Dallas/Fort Worth International Airport
DEN,Denver International Airport
JFK,John F. Kennedy International Airport
SFO,San Francisco International Airport
SEA,Seattle-Tacoma International Airport
LAS,Harry Reid International Airport (Las Vegas)
MCO,Orlando International Airport
CLT,Charlotte Douglas International Airport
PHX,Phoenix Sky Harbor International Airport
MIA,Miami International Airport
IAH,George Bush Intercontinental Airport (Houston)
BOS,Boston Logan International Airport
MSP,Minneapolis-Saint Paul International Airport
DTW,Detroit Metropolitan Airport
PHL,Philadelphia International Airport
LGA,LaGuardia Airport (New York)
FLL,Fort Lauderdale-Hollywood International Airport
BWI,Baltimore/Washington International Thurgood Marshall Airport
SLC,Salt Lake City International Airport
DCA,Ronald Reagan Washington National Airport
SAN,San Diego International Airport
MDW,Chicago Midway International Airport
TPA,Tampa International Airport
HNL,Daniel K. Inouye International Airport (Honolulu)
DAL,Dallas Love Field Airport
PDX,Portland International Airport
STL,St. Louis Lambert International Airport

